source,target,type,weight
EL ENG 24,EL ENG 24,directed,3
EL ENG 25,EL ENG 25,directed,3
EL ENG 39,EL ENG 39,directed,3
EL ENG 42,EL ENG 42,directed,3
EL ENG 49,EL ENG 49,directed,3
EL ENG 84,EL ENG 84,directed,3
EL ENG 97,EL ENG 97,directed,3
EL ENG 98,EL ENG 98,directed,3
EL ENG 99,EL ENG 99,directed,3
EL ENG 105,EL ENG 105,directed,3
EL ENG C106A,EL ENG C106A,directed,3
EL ENG C106B,EL ENG C106B,directed,3
EL ENG 113,EL ENG 113,directed,3
EL ENG 117,EL ENG 117,directed,3
EL ENG 118,EL ENG 118,directed,3
EL ENG 120,EL ENG 120,directed,3
EL ENG 121,EL ENG 121,directed,3
EL ENG 122,EL ENG 122,directed,3
EL ENG 123,EL ENG 123,directed,3
EL ENG 126,EL ENG 126,directed,3
EL ENG C128,EL ENG C128,directed,3
EL ENG 130,EL ENG 130,directed,3
EL ENG 134,EL ENG 134,directed,3
EL ENG 137A,EL ENG 137A,directed,3
EL ENG 137B,EL ENG 137B,directed,3
EL ENG 140,EL ENG 140,directed,3
EL ENG 142,EL ENG 142,directed,3
EL ENG 143,EL ENG 143,directed,3
EL ENG 144,EL ENG 144,directed,3
EL ENG C145B,EL ENG C145B,directed,3
EL ENG C145L,EL ENG C145L,directed,3
EL ENG C145M,EL ENG C145M,directed,3
EL ENG C145O,EL ENG C145O,directed,3
EL ENG 146L,EL ENG 146L,directed,3
EL ENG 147,EL ENG 147,directed,3
EL ENG 192,EL ENG 192,directed,3
EL ENG 194,EL ENG 194,directed,3
EL ENG H196A,EL ENG H196A,directed,3
EL ENG H196B,EL ENG H196B,directed,3
EL ENG 197,EL ENG 197,directed,3
EL ENG 198,EL ENG 198,directed,3
EL ENG 199,EL ENG 199,directed,3
MAT SCI 24,MAT SCI 24,directed,3
MAT SCI 45,MAT SCI 45,directed,3
MAT SCI 45L,MAT SCI 45L,directed,3
MAT SCI 102,MAT SCI 102,directed,3
MAT SCI 103,MAT SCI 103,directed,3
MAT SCI 104,MAT SCI 104,directed,3
MAT SCI 104L,MAT SCI 104L,directed,3
MAT SCI 111,MAT SCI 111,directed,3
MAT SCI 112,MAT SCI 112,directed,3
MAT SCI 113,MAT SCI 113,directed,3
MAT SCI 117,MAT SCI 117,directed,3
MAT SCI C118,MAT SCI C118,directed,3
MAT SCI 120,MAT SCI 120,directed,3
MAT SCI 121,MAT SCI 121,directed,3
MAT SCI 122,MAT SCI 122,directed,3
MAT SCI 123,MAT SCI 123,directed,3
MAT SCI 125,MAT SCI 125,directed,3
MAT SCI 130,MAT SCI 130,directed,3
MAT SCI 136,MAT SCI 136,directed,3
MAT SCI 140,MAT SCI 140,directed,3
MAT SCI C150,MAT SCI C150,directed,3
MAT SCI 151,MAT SCI 151,directed,3
MAT SCI H194,MAT SCI H194,directed,3
MAT SCI 195,MAT SCI 195,directed,3
MAT SCI 198,MAT SCI 198,directed,3
MAT SCI 199,MAT SCI 199,directed,3
EL ENG 24,EL ENG 24,directed,3
EL ENG 25,EL ENG 25,directed,3
EL ENG 39,EL ENG 39,directed,3
EL ENG 42,EL ENG 42,directed,3
EL ENG 49,EL ENG 49,directed,3
EL ENG 84,EL ENG 84,directed,3
EL ENG 97,EL ENG 97,directed,3
EL ENG 98,EL ENG 98,directed,3
EL ENG 99,EL ENG 99,directed,3
EL ENG 105,EL ENG 105,directed,3
