source,target,type,weight
SPANISH 4,SPANISH R1B,directed,3
SPANISH 4,SPANISH R1B,directed,3
SPANISH 1,SPANISH 2,directed,3
SPANISH 2,SPANISH 3,directed,3
SPANISH 3,SPANISH 4,directed,3
SPANISH 3,SPANISH N4,directed,3
SPANISH 4,SPANISH 25,directed,3
SPANISH 25,SPANISH 101,directed,3
SPANISH 25,SPANISH 102A,directed,3
SPANISH 25,SPANISH 102C,directed,3
SPANISH 25,SPANISH N102C,directed,3
SPANISH 25,SPANISH 104A,directed,3
SPANISH 25,SPANISH 104B,directed,3
SPANISH 25,SPANISH 107A,directed,3
SPANISH 25,SPANISH 107B,directed,3
SPANISH 25,SPANISH 109,directed,3
SPANISH 25,SPANISH 111A,directed,3
SPANISH 25,SPANISH 111B,directed,3
SPANISH 25,SPANISH 112,directed,3
SPANISH 25,SPANISH 113,directed,3
SPANISH 25,SPANISH 115,directed,3
SPANISH 4,SPANISH 122,directed,3
SPANISH 25,SPANISH 131,directed,3
SPANISH 25,SPANISH 135,directed,3
SPANISH 25,SPANISH 142,directed,3
SPANISH 100,SPANISH 161,directed,3
SPANISH 100,SPANISH 162,directed,3
SPANISH 100,SPANISH 163,directed,3
SPANISH 100,SPANISH 164,directed,3
SPANISH 100,SPANISH 164,directed,3
SPANISH 100,SPANISH 165,directed,3
SPANISH 100,SPANISH 166,directed,3
SPANISH 100,SPANISH 170,directed,3
SPANISH 163,SPANISH 170,directed,3
SPANISH 163,SPANISH 170,directed,3
SPANISH 100,SPANISH 179,directed,3
SPANISH 25,SPANISH H195,directed,3
SPANISH 25,SPANISH 199,directed,3
