source,target,type,weight
CIV ENG 11,CIV ENG 11,directed,3
CIV ENG 24,CIV ENG 24,directed,3
CIV ENG C30,CIV ENG C30,directed,3
CIV ENG W30,CIV ENG W30,directed,3
CIV ENG 60,CIV ENG 60,directed,3
CIV ENG 70,CIV ENG 70,directed,3
CIV ENG 88B,CIV ENG 88B,directed,3
CIV ENG C88,CIV ENG C88,directed,3
CIV ENG 92,CIV ENG 92,directed,3
CIV ENG 93,CIV ENG 93,directed,3
CIV ENG 98,CIV ENG 98,directed,3
CIV ENG 99,CIV ENG 99,directed,3
CIV ENG 100,CIV ENG 100,directed,3
CIV ENG 101,CIV ENG 101,directed,3
CIV ENG 103,CIV ENG 103,directed,3
CIV ENG C103N,CIV ENG C103N,directed,3
CIV ENG 105,CIV ENG 105,directed,3
CIV ENG C106,CIV ENG C106,directed,3
CIV ENG 107,CIV ENG 107,directed,3
CIV ENG 110,CIV ENG 110,directed,3
CIV ENG 111,CIV ENG 111,directed,3
CIV ENG 111L,CIV ENG 111L,directed,3
CIV ENG 112,CIV ENG 112,directed,3
CIV ENG 113,CIV ENG 113,directed,3
CIV ENG 114,CIV ENG 114,directed,3
CIV ENG 115,CIV ENG 115,directed,3
CIV ENG C116,CIV ENG C116,directed,3
CIV ENG 120,CIV ENG 120,directed,3
CIV ENG 121,CIV ENG 121,directed,3
CIV ENG 122L,CIV ENG 122L,directed,3
CIV ENG 122N,CIV ENG 122N,directed,3
CIV ENG 123L,CIV ENG 123L,directed,3
CIV ENG 123N,CIV ENG 123N,directed,3
CIV ENG 124,CIV ENG 124,directed,3
CIV ENG 126,CIV ENG 126,directed,3
CIV ENG 130N,CIV ENG 130N,directed,3
CIV ENG 132,CIV ENG 132,directed,3
CIV ENG C133,CIV ENG C133,directed,3
CIV ENG 140,CIV ENG 140,directed,3
CIV ENG 153,CIV ENG 153,directed,3
CIV ENG 155,CIV ENG 155,directed,3
CIV ENG 156,CIV ENG 156,directed,3
CIV ENG 165,CIV ENG 165,directed,3
CIV ENG 166,CIV ENG 166,directed,3
CIV ENG 167,CIV ENG 167,directed,3
CIV ENG 171,CIV ENG 171,directed,3
CIV ENG 173,CIV ENG 173,directed,3
CIV ENG 174,CIV ENG 174,directed,3
CIV ENG 175,CIV ENG 175,directed,3
CIV ENG 176,CIV ENG 176,directed,3
CIV ENG 177,CIV ENG 177,directed,3
CIV ENG C178,CIV ENG C178,directed,3
CIV ENG 179,CIV ENG 179,directed,3
CIV ENG 180,CIV ENG 180,directed,3
CIV ENG 186,CIV ENG 186,directed,3
CIV ENG 190,CIV ENG 190,directed,3
CIV ENG 191,CIV ENG 191,directed,3
CIV ENG 192,CIV ENG 192,directed,3
CIV ENG 193,CIV ENG 193,directed,3
CIV ENG H194,CIV ENG H194,directed,3
CIV ENG 197,CIV ENG 197,directed,3
CIV ENG 198,CIV ENG 198,directed,3
CIV ENG 199,CIV ENG 199,directed,3
UGBA C5,UGBA C5,directed,3
UGBA 10,UGBA 10,directed,3
UGBA 24,UGBA 24,directed,3
UGBA 39AC,UGBA 39AC,directed,3
UGBA 39D,UGBA 39D,directed,3
UGBA 39E,UGBA 39E,directed,3
UGBA 88,UGBA 88,directed,3
UGBA C95B,UGBA C95B,directed,3
UGBA 96,UGBA 96,directed,3
UGBA 98,UGBA 98,directed,3
UGBA 100,UGBA 100,directed,3
UGBA 101B,UGBA 101B,directed,3
UGBA W102A,UGBA W102A,directed,3
UGBA 113,UGBA 113,directed,3
UGBA 117,UGBA 117,directed,3
UGBA 119,UGBA 119,directed,3
UGBA 125,UGBA 125,directed,3
UGBA W125,UGBA W125,directed,3
UGBA 127,UGBA 127,directed,3
UGBA 129,UGBA 129,directed,3
UGBA 134,UGBA 134,directed,3
UGBA 135,UGBA 135,directed,3
UGBA 143,UGBA 143,directed,3
UGBA 146,UGBA 146,directed,3
UGBA 147,UGBA 147,directed,3
UGBA 154,UGBA 154,directed,3
UGBA 155,UGBA 155,directed,3
UGBA W155,UGBA W155,directed,3
UGBA 162A,UGBA 162A,directed,3
UGBA 168B,UGBA 168B,directed,3
UGBA 169,UGBA 169,directed,3
UGBA 170,UGBA 170,directed,3
UGBA C172,UGBA C172,directed,3
UGBA 175,UGBA 175,directed,3
UGBA 176,UGBA 176,directed,3
UGBA 178,UGBA 178,directed,3
UGBA 179,UGBA 179,directed,3
UGBA 184,UGBA 184,directed,3
UGBA 187,UGBA 187,directed,3
UGBA 190C,UGBA 190C,directed,3
UGBA 190D,UGBA 190D,directed,3
UGBA 190S,UGBA 190S,directed,3
UGBA 190T,UGBA 190T,directed,3
UGBA 190V,UGBA 190V,directed,3
UGBA 191C,UGBA 191C,directed,3
UGBA 191I,UGBA 191I,directed,3
UGBA 191L,UGBA 191L,directed,3
UGBA 191P,UGBA 191P,directed,3
UGBA 192AC,UGBA 192AC,directed,3
UGBA 192B,UGBA 192B,directed,3
UGBA 192E,UGBA 192E,directed,3
UGBA 192G,UGBA 192G,directed,3
UGBA 192L,UGBA 192L,directed,3
UGBA 192N,UGBA 192N,directed,3
UGBA 192P,UGBA 192P,directed,3
UGBA 192S,UGBA 192S,directed,3
UGBA 192T,UGBA 192T,directed,3
UGBA 193B,UGBA 193B,directed,3
UGBA 193C,UGBA 193C,directed,3
UGBA 193I,UGBA 193I,directed,3
UGBA 194,UGBA 194,directed,3
UGBA 195A,UGBA 195A,directed,3
UGBA 195P,UGBA 195P,directed,3
UGBA 195S,UGBA 195S,directed,3
UGBA 195T,UGBA 195T,directed,3
UGBA 196,UGBA 196,directed,3
UGBA 198,UGBA 198,directed,3
UGBA 199,UGBA 199,directed,3
CIV ENG 11,CIV ENG 11,directed,3
CIV ENG 24,CIV ENG 24,directed,3
CIV ENG C30,CIV ENG C30,directed,3
CIV ENG W30,CIV ENG W30,directed,3
CIV ENG 60,CIV ENG 60,directed,3
CIV ENG 70,CIV ENG 70,directed,3
CIV ENG 88B,CIV ENG 88B,directed,3
CIV ENG C88,CIV ENG C88,directed,3
CIV ENG 92,CIV ENG 92,directed,3
CIV ENG 93,CIV ENG 93,directed,3
CIV ENG 98,CIV ENG 98,directed,3
CIV ENG 99,CIV ENG 99,directed,3
CIV ENG 100,CIV ENG 100,directed,3
CIV ENG 101,CIV ENG 101,directed,3
CIV ENG 103,CIV ENG 103,directed,3
CIV ENG C103N,CIV ENG C103N,directed,3
CIV ENG 105,CIV ENG 105,directed,3
CIV ENG C106,CIV ENG C106,directed,3
CIV ENG 107,CIV ENG 107,directed,3
CIV ENG 110,CIV ENG 110,directed,3
CIV ENG 111,CIV ENG 111,directed,3
CIV ENG 111L,CIV ENG 111L,directed,3
CIV ENG 112,CIV ENG 112,directed,3
CIV ENG 113,CIV ENG 113,directed,3
CIV ENG 114,CIV ENG 114,directed,3
CIV ENG 115,CIV ENG 115,directed,3
CIV ENG C116,CIV ENG C116,directed,3
CIV ENG 120,CIV ENG 120,directed,3
CIV ENG 121,CIV ENG 121,directed,3
CIV ENG 122L,CIV ENG 122L,directed,3
CIV ENG 122N,CIV ENG 122N,directed,3
CIV ENG 123L,CIV ENG 123L,directed,3
CIV ENG 123N,CIV ENG 123N,directed,3
CIV ENG 124,CIV ENG 124,directed,3
CIV ENG 126,CIV ENG 126,directed,3
CIV ENG 130N,CIV ENG 130N,directed,3
CIV ENG 132,CIV ENG 132,directed,3
CIV ENG C133,CIV ENG C133,directed,3
CIV ENG 140,CIV ENG 140,directed,3
CIV ENG 153,CIV ENG 153,directed,3
CIV ENG 155,CIV ENG 155,directed,3
CIV ENG 156,CIV ENG 156,directed,3
CIV ENG 165,CIV ENG 165,directed,3
CIV ENG 166,CIV ENG 166,directed,3
CIV ENG 167,CIV ENG 167,directed,3
CIV ENG 171,CIV ENG 171,directed,3
CIV ENG 173,CIV ENG 173,directed,3
CIV ENG 174,CIV ENG 174,directed,3
CIV ENG 175,CIV ENG 175,directed,3
CIV ENG 176,CIV ENG 176,directed,3
CIV ENG 177,CIV ENG 177,directed,3
CIV ENG C178,CIV ENG C178,directed,3
CIV ENG 179,CIV ENG 179,directed,3
CIV ENG 180,CIV ENG 180,directed,3
CIV ENG 186,CIV ENG 186,directed,3
CIV ENG 190,CIV ENG 190,directed,3
CIV ENG 191,CIV ENG 191,directed,3
CIV ENG 192,CIV ENG 192,directed,3
CIV ENG 193,CIV ENG 193,directed,3
CIV ENG H194,CIV ENG H194,directed,3
CIV ENG 197,CIV ENG 197,directed,3
CIV ENG 198,CIV ENG 198,directed,3
CIV ENG 199,CIV ENG 199,directed,3
UGBA C5,UGBA C5,directed,3
UGBA 10,UGBA 10,directed,3
UGBA 24,UGBA 24,directed,3
UGBA 39AC,UGBA 39AC,directed,3
UGBA 39D,UGBA 39D,directed,3
UGBA 39E,UGBA 39E,directed,3
UGBA 88,UGBA 88,directed,3
UGBA C95B,UGBA C95B,directed,3
UGBA 96,UGBA 96,directed,3
UGBA 98,UGBA 98,directed,3
UGBA 100,UGBA 100,directed,3
UGBA 101B,UGBA 101B,directed,3
UGBA W102A,UGBA W102A,directed,3
UGBA 113,UGBA 113,directed,3
UGBA 117,UGBA 117,directed,3
UGBA 119,UGBA 119,directed,3
UGBA 125,UGBA 125,directed,3
UGBA W125,UGBA W125,directed,3
UGBA 127,UGBA 127,directed,3
UGBA 129,UGBA 129,directed,3
UGBA 134,UGBA 134,directed,3
UGBA 135,UGBA 135,directed,3
UGBA 143,UGBA 143,directed,3
UGBA 146,UGBA 146,directed,3
UGBA 147,UGBA 147,directed,3
UGBA 154,UGBA 154,directed,3
UGBA 155,UGBA 155,directed,3
UGBA W155,UGBA W155,directed,3
UGBA 162A,UGBA 162A,directed,3
UGBA 168B,UGBA 168B,directed,3
UGBA 169,UGBA 169,directed,3
UGBA 170,UGBA 170,directed,3
UGBA C172,UGBA C172,directed,3
UGBA 175,UGBA 175,directed,3
UGBA 176,UGBA 176,directed,3
UGBA 178,UGBA 178,directed,3
UGBA 179,UGBA 179,directed,3
UGBA 184,UGBA 184,directed,3
UGBA 187,UGBA 187,directed,3
