source,target,type,weight
MUSIC 20A,MUSIC 25,directed,3
MUSIC 40,MUSIC 41A,directed,3
MUSIC 41A,MUSIC 41B,directed,3
MUSIC 52A,MUSIC 52B,directed,3
MUSIC 53A,MUSIC 53B,directed,3
MUSIC 27,MUSIC 128,directed,3
MUSIC 27,MUSIC 128A,directed,3
MUSIC 27,MUSIC 128B,directed,3
MUSIC 27,MUSIC 128D,directed,3
MUSIC 27,MUSIC 128E,directed,3
MUSIC 27,MUSIC 128Q,directed,3
MUSIC 27,MUSIC 128R,directed,3
MUSIC 27,MUSIC 128RM,directed,3
MUSIC 52B,MUSIC 152A,directed,3
MUSIC 152A,MUSIC 152B,directed,3
MUSIC 53B,MUSIC 153A,directed,3
MUSIC 153A,MUSIC 153B,directed,3
MUSIC 158A,MUSIC 158B,directed,3
MUSIC 156,MUSIC 161A,directed,3
MUSIC 156,MUSIC 161B,directed,3
MUSIC 156,MUSIC 162,directed,3
MUSIC 164,MUSIC 165,directed,3
MUSIC 168C,MUSIC 168CE,directed,3
MUSIC 168C,MUSIC 168CS,directed,3
MUSIC 53B,MUSIC 170,directed,3
MUSIC 70,MUSIC 170,directed,3
MUSIC 53B,MUSIC 170A,directed,3
MUSIC 70,MUSIC 170A,directed,3
MUSIC 80,MUSIC 180,directed,3
MUSIC 20A,MUSIC 25,directed,3
MUSIC 40,MUSIC 41A,directed,3
MUSIC 41A,MUSIC 41B,directed,3
MUSIC 42,MUSIC 41C,directed,3
MUSIC 52A,MUSIC 52B,directed,3
MUSIC 53A,MUSIC 53B,directed,3
MUSIC 158A,MUSIC 107,directed,3
MUSIC 27,MUSIC 128,directed,3
MUSIC 27,MUSIC 128A,directed,3
MUSIC 27,MUSIC 128B,directed,3
MUSIC 27,MUSIC 128D,directed,3
MUSIC 27,MUSIC 128E,directed,3
MUSIC 27,MUSIC 128Q,directed,3
MUSIC 27,MUSIC 128R,directed,3
MUSIC 27,MUSIC 128RM,directed,3
MUSIC 52B,MUSIC 152A,directed,3
MUSIC 152A,MUSIC 152B,directed,3
MUSIC 53B,MUSIC 153A,directed,3
MUSIC 153A,MUSIC 153B,directed,3
MUSIC 158A,MUSIC 158B,directed,3
MUSIC 156,MUSIC 161A,directed,3
MUSIC 156,MUSIC 161B,directed,3
MUSIC 156,MUSIC 162,directed,3
MUSIC 164,MUSIC 165,directed,3
MUSIC 168C,MUSIC 168CE,directed,3
MUSIC 168C,MUSIC 168CS,directed,3
MUSIC 53B,MUSIC 170,directed,3
MUSIC 70,MUSIC 170,directed,3
MUSIC 53B,MUSIC 170A,directed,3
MUSIC 70,MUSIC 170A,directed,3
MUSIC 80,MUSIC 180,directed,3
